Category: All categories

Country,climate: (1/1/04 - 4/19/24)
Tuvalu,
Kiribati,
Solomon Islands,
Marshall Islands,
Vanuatu,
Samoa,
Tonga,
Fiji,
Micronesia,
Papua New Guinea,
Bhutan,
Palau,
Norfolk Island,
Cook Islands,
Eritrea,
Liberia,
American Samoa,
Nauru,
Ethiopia,100
Zimbabwe,95
Svalbard & Jan Mayen,
Lesotho,
Malawi,
Belize,
Eswatini,
Philippines,72
Rwanda,
Botswana,
Nepal,65
Guyana,
Montserrat,
Dominica,
Sierra Leone,
Gambia,
Uganda,59
Zambia,
Jamaica,58
Seychelles,
Northern Mariana Islands,
South Sudan,
Kenya,52
Australia,52
St. Vincent & Grenadines,
Grenada,
Falkland Islands (Islas Malvinas),
Somalia,
Ghana,48
Tanzania,46
St. Lucia,
U.S. Virgin Islands,
Namibia,
Antigua & Barbuda,
New Zealand,42
Mauritius,
Maldives,
South Africa,38
Canada,37
Barbados,
Trinidad & Tobago,
Bermuda,
St. Kitts & Nevis,
Guernsey,
Cayman Islands,
British Virgin Islands,
United Arab Emirates,34
Guam,
Isle of Man,
United States,33
Anguilla,
Turks & Caicos Islands,
Nigeria,31
Singapore,30
Bahamas,
Qatar,30
Jersey,
Ireland,30
Brunei,
United Kingdom,29
Cameroon,
Sri Lanka,27
Pakistan,26
Sint Maarten,
India,26
Malta,
Timor-Leste,
Bahrain,
Bangladesh,23
Myanmar (Burma),
St. Helena,
Gibraltar,
Cambodia,
Iceland,
Luxembourg,
Greenland,
Aruba,
Oman,
Hong Kong,18
Faroe Islands,
Caribbean Netherlands,
Kuwait,
Burundi,
Norway,15
Djibouti,
Lebanon,
Curaçao,
Afghanistan,
Denmark,13
Mongolia,
Suriname,
Togo,
Estonia,
São Tomé & Príncipe,
Cyprus,
Niger,
Malaysia,12
Netherlands,11
Sweden,11
Laos,
Belgium,11
Switzerland,11
Madagascar,
Åland Islands,
Cape Verde,
Puerto Rico,
Macao,
Finland,10
Monaco,
Burkina Faso,
South Korea,9
Mozambique,
Liechtenstein,
Benin,
St. Martin,
Albania,
Central African Republic,
Slovenia,
North Macedonia,
Jordan,
Uzbekistan,
Latvia,
Kosovo,
Senegal,
Georgia,
Costa Rica,
Honduras,
Austria,6
Panama,
China,6
Lithuania,
Sudan,
Montenegro,
Chad,
Portugal,6
Guinea-Bissau,
New Caledonia,
Egypt,5
Tajikistan,
Germany,5
Comoros,
Greece,5
Haiti,
Andorra,
Saudi Arabia,5
Armenia,
Thailand,5
Mali,
Croatia,
Côte d’Ivoire,
Israel,4
Bulgaria,
French Polynesia,
Hungary,4
Palestine,
Serbia,
Gabon,
Czechia,4
Vietnam,4
Azerbaijan,
Nicaragua,
Congo - Kinshasa,
Congo - Brazzaville,
Spain,4
Equatorial Guinea,
Moldova,
Romania,4
Kyrgyzstan,
San Marino,
Turkmenistan,
Iraq,
Bolivia,
St. Barthélemy,
Taiwan,3
Italy,3
Bosnia & Herzegovina,
Slovakia,
Libya,
France,3
Angola,
Tunisia,
Indonesia,3
Kazakhstan,
Ecuador,
El Salvador,
Morocco,
Cuba,
Dominican Republic,
Western Sahara,
Mauritania,
Guinea,
Mexico,2
Colombia,2
Guatemala,
French Guiana,
Uruguay,
Chile,
Syria,
Iran,2
Yemen,
Mayotte,
Peru,
Poland,2
Algeria,
Russia,1
Réunion,
Guadeloupe,
Türkiye,1
Belarus,
Paraguay,
Martinique,
Japan,1
Ukraine,
Argentina,1
Brazil,1
Venezuela,
French Southern Territories,
U.S. Outlying Islands,
Niue,
Antarctica,
Cocos (Keeling) Islands,
Vatican City,
South Georgia & South Sandwich Islands,
Pitcairn Islands,
Bouvet Island,
Tokelau,
Wallis & Futuna,
British Indian Ocean Territory,
St. Pierre & Miquelon,
Heard & McDonald Islands,
Christmas Island,
North Korea,
